Company,Industry,Country,Reporting_Year,ESG_Category,Metric,Availability_Flag,Availability
Apex Manufacturing,Manufacturing,India,2024,Climate,Scope 1 Emissions,1,Available
Apex Manufacturing,Manufacturing,India,2024,Climate,Scope 2 Emissions,1,Available
Apex Manufacturing,Manufacturing,India,2024,Climate,Scope 3 Emissions,1,Available
Apex Manufacturing,Manufacturing,India,2024,Energy,Energy Consumption,1,Available
Apex Manufacturing,Manufacturing,India,2024,Energy,Renewable Energy Consumption,1,Available
Apex Manufacturing,Manufacturing,India,2024,Climate Strategy,Emissions Reduction Target,1,Available
Apex Manufacturing,Manufacturing,India,2024,Climate Strategy,Net Zero Target,1,Available
Apex Manufacturing,Manufacturing,India,2024,Water,Water Consumption,1,Available
Apex Manufacturing,Manufacturing,India,2024,Waste,Waste Generated,0,Missing
Apex Manufacturing,Manufacturing,India,2024,Waste,Waste Recycled,1,Available
Apex Manufacturing,Manufacturing,India,2024,Workforce / ESG,Employee Turnover,1,Available
Apex Manufacturing,Manufacturing,India,2024,Workforce / ESG,Workforce Training Hours,1,Available
Apex Manufacturing,Manufacturing,India,2025,Climate,Scope 1 Emissions,1,Available
Apex Manufacturing,Manufacturing,India,2025,Climate,Scope 2 Emissions,0,Missing
Apex Manufacturing,Manufacturing,India,2025,Climate,Scope 3 Emissions,0,Missing
Apex Manufacturing,Manufacturing,India,2025,Energy,Energy Consumption,1,Available
Apex Manufacturing,Manufacturing,India,2025,Energy,Renewable Energy Consumption,1,Available
Apex Manufacturing,Manufacturing,India,2025,Climate Strategy,Emissions Reduction Target,0,Missing
Apex Manufacturing,Manufacturing,India,2025,Climate Strategy,Net Zero Target,1,Available
Apex Manufacturing,Manufacturing,India,2025,Water,Water Consumption,1,Available
Apex Manufacturing,Manufacturing,India,2025,Waste,Waste Generated,0,Missing
Apex Manufacturing,Manufacturing,India,2025,Waste,Waste Recycled,0,Missing
Apex Manufacturing,Manufacturing,India,2025,Workforce / ESG,Employee Turnover,1,Available
Apex Manufacturing,Manufacturing,India,2025,Workforce / ESG,Workforce Training Hours,1,Available
